x,y
-1.000000,0.038462
-0.999995,0.038462
-0.999980,0.038463
-0.999955,0.038465
-0.999920,0.038468
-0.999876,0.038472
-0.999821,0.038476
-0.999757,0.038481
-0.999682,0.038487
-0.999598,0.038494
-0.999504,0.038501
-0.999400,0.038510
-0.999286,0.038519
-0.999163,0.038529
-0.999029,0.038540
-0.998886,0.038551
-0.998732,0.038564
-0.998569,0.038577
-0.998396,0.038591
-0.998213,0.038605
-0.998020,0.038621
-0.997817,0.038637
-0.997605,0.038654
-0.997382,0.038672
-0.997150,0.038691
-0.996908,0.038710
-0.996656,0.038731
-0.996394,0.038752
-0.996122,0.038773
-0.995840,0.038796
-0.995549,0.038820
-0.995248,0.038844
-0.994937,0.038869
-0.994616,0.038895
-0.994285,0.038921
-0.993944,0.038949
-0.993594,0.038977
-0.993233,0.039006
-0.992863,0.039035
-0.992483,0.039066
-0.992094,0.039097
-0.991694,0.039129
-0.991285,0.039162
-0.990865,0.039196
-0.990437,0.039230
-0.989998,0.039266
-0.989549,0.039302
-0.989091,0.039338
-0.988623,0.039376
-0.988145,0.039414
-0.987657,0.039454
-0.987160,0.039493
-0.986653,0.039534
-0.986136,0.039576
-0.985609,0.039618
-0.985072,0.039661
-0.984526,0.039705
-0.983970,0.039749
-0.983405,0.039794
-0.982829,0.039841
-0.982244,0.039887
-0.981649,0.039935
-0.981045,0.039983
-0.980431,0.040032
-0.979807,0.040082
-0.979173,0.040133
-0.978530,0.040184
-0.977877,0.040236
-0.977214,0.040289
-0.976542,0.040343
-0.975860,0.040397
-0.975168,0.040453
-0.974467,0.040508
-0.973756,0.040565
-0.973036,0.040622
-0.972306,0.040680
-0.971566,0.040739
-0.970817,0.040799
-0.970058,0.040859
-0.969289,0.040920
-0.968511,0.040981
-0.967723,0.041044
-0.966926,0.041107
-0.966119,0.041171
-0.965303,0.041235
-0.964477,0.041300
-0.963641,0.041366
-0.962796,0.041433
-0.961942,0.041500
-0.961078,0.041568
-0.960204,0.041637
-0.959321,0.041706
-0.958429,0.041776
-0.957526,0.041846
-0.956615,0.041918
-0.955694,0.041990
-0.954764,0.042062
-0.953824,0.042135
-0.952875,0.042209
-0.951916,0.042284
-0.950948,0.042359
-0.949970,0.042434
-0.948983,0.042511
-0.947987,0.042587
-0.946982,0.042665
-0.945966,0.042743
-0.944942,0.042822
-0.943908,0.042902
-0.942865,0.042982
-0.941813,0.043063
-0.940751,0.043144
-0.939680,0.043227
-0.938600,0.043310
-0.937510,0.043394
-0.936412,0.043478
-0.935304,0.043563
-0.934186,0.043649
-0.933060,0.043736
-0.931924,0.043824
-0.930779,0.043913
-0.929625,0.044002
-0.928461,0.044092
-0.927289,0.044184
-0.926107,0.044276
-0.924916,0.044369
-0.923716,0.044463
-0.922507,0.044558
-0.921288,0.044654
-0.920061,0.044751
-0.918824,0.044849
-0.917579,0.044948
-0.916324,0.045049
-0.915060,0.045150
-0.913787,0.045253
-0.912505,0.045357
-0.911215,0.045462
-0.909915,0.045569
-0.908606,0.045677
-0.907288,0.045786
-0.905961,0.045897
-0.904625,0.046009
-0.903281,0.046123
-0.901927,0.046238
-0.900564,0.046354
-0.899193,0.046473
-0.897812,0.046593
-0.896423,0.046714
-0.895025,0.046838
-0.893618,0.046963
-0.892202,0.047090
-0.890778,0.047219
-0.889344,0.047350
-0.887902,0.047483
-0.886451,0.047618
-0.884991,0.047756
-0.883522,0.047895
-0.882045,0.048037
-0.880559,0.048181
-0.879064,0.048327
-0.877561,0.048476
-0.876049,0.048627
-0.874528,0.048781
-0.872999,0.048937
-0.871461,0.049096
-0.869914,0.049258
-0.868359,0.049423
-0.866795,0.049591
-0.865223,0.049761
-0.863642,0.049935
-0.862052,0.050112
-0.860454,0.050292
-0.858848,0.050475
-0.857233,0.050662
-0.855609,0.050852
-0.853977,0.051046
-0.852337,0.051244
-0.850688,0.051445
-0.849031,0.051650
-0.847365,0.051859
-0.845691,0.052072
-0.844009,0.052289
-0.842318,0.052511
-0.840619,0.052736
-0.838911,0.052967
-0.837196,0.053201
-0.835472,0.053441
-0.833740,0.053685
-0.831999,0.053933
-0.830250,0.054187
-0.828494,0.054446
-0.826728,0.054710
-0.824955,0.054979
-0.823174,0.055254
-0.821384,0.055534
-0.819586,0.055820
-0.817781,0.056112
-0.815967,0.056410
-0.814145,0.056713
-0.812315,0.057023
-0.810477,0.057339
-0.808631,0.057662
-0.806777,0.057991
-0.804915,0.058326
-0.803045,0.058668
-0.801167,0.059017
-0.799281,0.059372
-0.797387,0.059733
-0.795486,0.060100
-0.793576,0.060473
-0.791659,0.060853
-0.789734,0.061238
-0.787801,0.061630
-0.785860,0.062027
