x,y
-1.000000,0.038462
-0.997998,0.038434
-0.995996,0.038413
-0.993994,0.038401
-0.991992,0.038396
-0.989990,0.038398
-0.987988,0.038407
-0.985986,0.038423
-0.983984,0.038446
-0.981982,0.038476
-0.979980,0.038513
-0.977978,0.038556
-0.975976,0.038606
-0.973974,0.038663
-0.971972,0.038726
-0.969970,0.038794
-0.967968,0.038870
-0.965966,0.038951
-0.963964,0.039038
-0.961962,0.039130
-0.959960,0.039229
-0.957958,0.039333
-0.955956,0.039443
-0.953954,0.039558
-0.951952,0.039678
-0.949950,0.039804
-0.947948,0.039934
-0.945946,0.040070
-0.943944,0.040211
-0.941942,0.040357
-0.939940,0.040507
-0.937938,0.040662
-0.935936,0.040822
-0.933934,0.040987
-0.931932,0.041155
-0.929930,0.041329
-0.927928,0.041506
-0.925926,0.041688
-0.923924,0.041874
-0.921922,0.042063
-0.919920,0.042257
-0.917918,0.042455
-0.915916,0.042657
-0.913914,0.042862
-0.911912,0.043071
-0.909910,0.043283
-0.907908,0.043499
-0.905906,0.043719
-0.903904,0.043942
-0.901902,0.044168
-0.899900,0.044398
-0.897898,0.044631
-0.895896,0.044866
-0.893894,0.045105
-0.891892,0.045347
-0.889890,0.045592
-0.887888,0.045840
-0.885886,0.046091
-0.883884,0.046344
-0.881882,0.046600
-0.879880,0.046859
-0.877878,0.047120
-0.875876,0.047384
-0.873874,0.047650
-0.871872,0.047919
-0.869870,0.048190
-0.867868,0.048463
-0.865866,0.048739
-0.863864,0.049017
-0.861862,0.049297
-0.859860,0.049580
-0.857858,0.049864
-0.855856,0.050150
-0.853854,0.050439
-0.851852,0.050729
-0.849850,0.051022
-0.847848,0.051316
-0.845846,0.051612
-0.843844,0.051910
-0.841842,0.052209
-0.839840,0.052511
-0.837838,0.052814
-0.835836,0.053119
-0.833834,0.053425
-0.831832,0.053733
-0.829830,0.054042
-0.827828,0.054353
-0.825826,0.054666
-0.823824,0.054980
-0.821822,0.055296
-0.819820,0.055613
-0.817818,0.055931
-0.815816,0.056251
-0.813814,0.056572
-0.811812,0.056895
-0.809810,0.057218
-0.807808,0.057543
-0.805806,0.057870
-0.803804,0.058198
-0.801802,0.058526
-0.799800,0.058857
-0.797798,0.059188
-0.795796,0.059521
-0.793794,0.059854
-0.791792,0.060189
-0.789790,0.060525
-0.787788,0.060863
-0.785786,0.061201
-0.783784,0.061541
-0.781782,0.061882
-0.779780,0.062224
-0.777778,0.062567
-0.775776,0.062911
-0.773774,0.063256
-0.771772,0.063603
-0.769770,0.063950
-0.767768,0.064299
-0.765766,0.064649
-0.763764,0.065000
-0.761762,0.065352
-0.759760,0.065705
-0.757758,0.066060
-0.755756,0.066416
-0.753754,0.066772
-0.751752,0.067130
-0.749750,0.067490
-0.747748,0.067850
-0.745746,0.068212
-0.743744,0.068575
-0.741742,0.068939
-0.739740,0.069304
-0.737738,0.069671
-0.735736,0.070039
-0.733734,0.070408
-0.731732,0.070779
-0.729730,0.071151
-0.727728,0.071524
-0.725726,0.071899
-0.723724,0.072275
-0.721722,0.072653
-0.719720,0.073032
-0.717718,0.073413
-0.715716,0.073795
-0.713714,0.074179
-0.711712,0.074564
-0.709710,0.074951
-0.707708,0.075340
-0.705706,0.075730
-0.703704,0.076122
-0.701702,0.076516
-0.699700,0.076912
-0.697698,0.077309
-0.695696,0.077709
-0.693694,0.078110
-0.691692,0.078513
-0.689690,0.078919
-0.687688,0.079326
-0.685686,0.079735
-0.683684,0.080147
-0.681682,0.080561
-0.679680,0.080977
-0.677678,0.081395
-0.675676,0.081816
-0.673674,0.082239
-0.671672,0.082664
-0.669670,0.083092
-0.667668,0.083522
-0.665666,0.083955
-0.663664,0.084391
-0.661662,0.084829
-0.659660,0.085270
-0.657658,0.085714
-0.655656,0.086161
-0.653654,0.086611
-0.651652,0.087063
-0.649650,0.087519
-0.647648,0.087978
-0.645646,0.088440
-0.643644,0.088905
-0.641642,0.089374
-0.639640,0.089846
-0.637638,0.090321
-0.635636,0.090800
-0.633634,0.091283
-0.631632,0.091769
-0.629630,0.092259
-0.627628,0.092753
-0.625626,0.093251
-0.623624,0.093753
-0.621622,0.094258
-0.619620,0.094768
-0.617618,0.095282
-0.615616,0.095801
-0.613614,0.096323
-0.611612,0.096850
-0.609610,0.097382
-0.607608,0.097918
-0.605606,0.098459
-0.603604,0.099005
-0.601602,0.099556
-0.599600,0.100112
-0.597598,0.100672
-0.595596,0.101238
-0.593594,0.101809
-0.591592,0.102385
-0.589590,0.102967
-0.587588,0.103554
-0.585586,0.104147
-0.583584,0.104746
-0.581582,0.105350
-0.579580,0.105961
-0.577578,0.106577
-0.575576,0.107200
-0.573574,0.107828
-0.571572,0.108463
-0.569570,0.109104
-0.567568,0.109752
-0.565566,0.110407
-0.563564,0.111068
-0.561562,0.111736
-0.559560,0.112411
-0.557558,0.113093
-0.555556,0.113783
-0.553554,0.114479
-0.551552,0.115183
-0.549550,0.115894
-0.547548,0.116614
-0.545546,0.117340
-0.543544,0.118075
-0.541542,0.118818
-0.539540,0.119568
-0.537538,0.120327
-0.535536,0.121095
-0.533534,0.121870
-0.531532,0.122655
-0.529530,0.123448
-0.527528,0.124250
-0.525526,0.125061
-0.523524,0.125881
-0.521522,0.126710
-0.519520,0.127548
-0.517518,0.128396
-0.515516,0.129254
-0.513514,0.130121
-0.511512,0.130999
-0.509510,0.131886
-0.507508,0.132783
-0.505506,0.133691
-0.503504,0.134609
-0.501502,0.135538
-0.499499,0.130751
-0.497497,0.131705
-0.495495,0.132675
-0.493493,0.133661
-0.491491,0.134664
-0.489489,0.135684
-0.487487,0.136719
-0.485485,0.137772
-0.483483,0.138842
-0.481481,0.139928
-0.479479,0.141032
-0.477477,0.142153
-0.475475,0.143292
-0.473473,0.144448
-0.471471,0.145622
-0.469469,0.146813
-0.467467,0.148022
-0.465465,0.149250
-0.463463,0.150495
-0.461461,0.151759
-0.459459,0.153042
-0.457457,0.154342
-0.455455,0.155662
-0.453453,0.157000
-0.451451,0.158356
-0.449449,0.159732
-0.447447,0.161127
-0.445445,0.162541
-0.443443,0.163974
-0.441441,0.165427
-0.439439,0.166899
-0.437437,0.168390
-0.435435,0.169902
-0.433433,0.171433
-0.431431,0.172983
-0.429429,0.174554
-0.427427,0.176145
-0.425425,0.177756
-0.423423,0.179387
-0.421421,0.181038
-0.419419,0.182710
-0.417417,0.184402
-0.415415,0.186115
-0.413413,0.187848
-0.411411,0.189602
-0.409409,0.191377
-0.407407,0.193173
-0.405405,0.194990
-0.403403,0.196827
-0.401401,0.198686
-0.399399,0.200566
-0.397397,0.202467
-0.395395,0.204390
-0.393393,0.206334
-0.391391,0.208299
-0.389389,0.210286
-0.387387,0.212295
-0.385385,0.214325
-0.383383,0.216377
-0.381381,0.218450
-0.379379,0.220545
-0.377377,0.222663
-0.375375,0.224802
-0.373373,0.226963
-0.371371,0.229146
-0.369369,0.231351
-0.367367,0.233579
-0.365365,0.235828
-0.363363,0.238100
-0.361361,0.240394
-0.359359,0.242711
-0.357357,0.245050
-0.355355,0.247411
-0.353353,0.249794
-0.351351,0.252200
-0.349349,0.254629
-0.347347,0.257080
-0.345345,0.259554
-0.343343,0.262050
-0.341341,0.264570
-0.339339,0.267111
-0.337337,0.269676
-0.335335,0.272263
-0.333333,0.274873
-0.331331,0.277506
-0.329329,0.280161
-0.327327,0.282840
-0.325325,0.285541
-0.323323,0.288265
-0.321321,0.291012
-0.319319,0.293782
-0.317317,0.296575
-0.315315,0.299391
-0.313313,0.302229
-0.311311,0.305091
-0.309309,0.307976
-0.307307,0.310883
-0.305305,0.313814
-0.303303,0.316768
-0.301301,0.319744
-0.299299,0.297929
-0.297297,0.300970
-0.295295,0.304057
-0.293293,0.307188
-0.291291,0.310364
-0.289289,0.313586
-0.287287,0.316852
-0.285285,0.320164
-0.283283,0.323520
-0.281281,0.326920
-0.279279,0.330365
-0.277277,0.333855
-0.275275,0.337389
-0.273273,0.340967
-0.271271,0.344589
-0.269269,0.348255
-0.267267,0.351965
-0.265265,0.355718
-0.263263,0.359515
-0.261261,0.363354
-0.259259,0.367236
-0.257257,0.371161
-0.255255,0.375129
-0.253253,0.379138
-0.251251,0.383189
-0.249249,0.387282
-0.247247,0.391416
-0.245245,0.395590
-0.243243,0.399806
-0.241241,0.404061
-0.239239,0.408357
-0.237237,0.412692
-0.235235,0.417066
-0.233233,0.421479
-0.231231,0.425931
-0.229229,0.430420
-0.227227,0.434947
-0.225225,0.439511
-0.223223,0.444112
-0.221221,0.448749
-0.219219,0.453422
-0.217217,0.458130
-0.215215,0.462872
-0.213213,0.467650
-0.211211,0.472460
-0.209209,0.477305
-0.207207,0.482181
-0.205205,0.487090
-0.203203,0.492031
-0.201201,0.497002
-0.199199,0.502004
-0.197197,0.507036
-0.195195,0.512097
-0.193193,0.517187
-0.191191,0.522304
-0.189189,0.527449
-0.187187,0.532621
-0.185185,0.537818
-0.183183,0.543041
-0.181181,0.548288
-0.179179,0.553559
-0.177177,0.558853
-0.175175,0.564170
-0.173173,0.569508
-0.171171,0.574868
-0.169169,0.580247
-0.167167,0.585646
-0.165165,0.591063
-0.163163,0.596498
-0.161161,0.601950
-0.159159,0.607419
-0.157157,0.612902
-0.155155,0.618400
-0.153153,0.623911
-0.151151,0.629435
-0.149149,0.634971
-0.147147,0.640518
-0.145145,0.646075
-0.143143,0.651641
-0.141141,0.657215
-0.139139,0.662796
-0.137137,0.668383
-0.135135,0.673975
-0.133133,0.679572
-0.131131,0.685172
-0.129129,0.690774
-0.127127,0.696378
-0.125125,0.701981
-0.123123,0.707584
-0.121121,0.713185
-0.119119,0.718783
-0.117117,0.724376
-0.115115,0.729965
-0.113113,0.735547
-0.111111,0.741122
-0.109109,0.746688
-0.107107,0.752245
-0.105105,0.757790
-0.103103,0.763324
-0.101101,0.768845
-0.099099,0.858718
-0.097097,0.864138
-0.095095,0.869465
-0.093093,0.874699
-0.091091,0.879839
-0.089089,0.884884
-0.087087,0.889833
-0.085085,0.894684
-0.083083,0.899436
-0.081081,0.904089
-0.079079,0.908642
-0.077077,0.913093
-0.075075,0.917441
-0.073073,0.921687
-0.071071,0.925828
-0.069069,0.929864
-0.067067,0.933795
-0.065065,0.937618
-0.063063,0.941334
-0.061061,0.944942
-0.059059,0.948441
-0.057057,0.951830
-0.055055,0.955108
-0.053053,0.958276
-0.051051,0.961331
-0.049049,0.964275
-0.047047,0.967105
-0.045045,0.969821
-0.043043,0.972424
-0.041041,0.974912
-0.039039,0.977284
-0.037037,0.979541
-0.035035,0.981682
-0.033033,0.983707
-0.031031,0.985614
-0.029029,0.987404
-0.027027,0.989076
-0.025025,0.990631
-0.023023,0.992067
-0.021021,0.993384
-0.019019,0.994582
-0.017017,0.995662
-0.015015,0.996621
-0.013013,0.997462
-0.011011,0.998182
-0.009009,0.998783
-0.007007,0.999264
-0.005005,0.999624
-0.003003,0.999865
-0.001001,0.999985
0.001001,0.999985
0.003003,0.999865
0.005005,0.999624
0.007007,0.999264
0.009009,0.998783
0.011011,0.998182
0.013013,0.997462
0.015015,0.996621
0.017017,0.995662
